,Country,Obesity,Overweight,Mortality per 100.000,Alcohol Consumed,latitude,longitude,geometry
40,Cuba,20.8372549019608,53.7627450980392,435.374509803922,5.53333333333333,23.0131338,-80.8328748,Cuba
41,Cyprus,19.0843137254902,55.9274509803922,382.437254901961,11.3823529411765,34.9823018,33.1451285,Κύπρος - Kıbrıs
42,Czechia,23.2607843137255,59.4823529411765,529.239215686275,14.6921568627451,49.8167003,15.4749544,Česko
43,Côte d'Ivoire,7.55882352941176,26.7235294117647,718.221568627451,3.02941176470588,7.9897371,-5.5679458,Côte d’Ivoire
44,Democratic People's Republic of Korea,5.2,28.6235294117647,673.78431372549,3.88039215686274,40.3736611,127.0870417,조선민주주의인민공화국
45,Democratic Republic of the Congo,4.65882352941177,20.7254901960784,720.809803921569,1.26862745098039,-2.9814344,23.8222636,République démocratique du Congo
46,Denmark,16.743137254902,52.4392156862745,444.537254901961,11.6098039215686,55.670249,10.3333283,Danmark
47,Djibouti,11.2529411764706,35.0705882352941,623.696078431373,0.841176470588235,11.8145966,42.8453061,Djibouti جيبوتي
48,Dominican Republic,21.5745098039216,53.7117647058824,464.147058823529,6.45098039215686,19.0974031,-70.3028026,República Dominicana
49,Ecuador,16.4019607843137,51.2549019607843,441.988235294118,4.12549019607843,-1.3397668,-79.3666965,Ecuador
50,Egypt,26.7764705882353,58.1549019607843,770.688235294118,0.162745098039216,26.2540493,29.2675469,مصر
51,El Salvador,19.6705882352941,54.2901960784314,427.370588235294,3.79019607843137,13.8000382,-88.9140683,El Salvador
52,Equatorial Guinea,6.06274509803922,23.0294117647059,671.541176470588,8.57254901960784,1.613172,10.5170357,Guinea Ecuatorial
53,Eritrea,3.34901960784314,17.9274509803922,786.350980392157,2.32745098039216,15.9500319,37.9999668,ኤርትራ Eritrea إرتريا
54,Estonia,18.9941176470588,53.1039215686275,619.917647058823,14.3666666666667,58.7523778,25.3319078,Eesti
55,Eswatini,13.0137254901961,33.343137254902,1184.53333333333,7.93529411764706,-26.5624806,31.3991317,eSwatini
56,Ethiopia,3.02156862745098,17.1745098039216,602.91568627451,1.1843137254902,10.2116702,38.6521203,ኢትዮጵያ
57,Fiji,25.4647058823529,58.7117647058824,994.037254901961,3.27843137254902,-18.1239696,179.0122737,Viti
58,Finland,19.2098039215686,55.0117647058824,404.719607843137,12.2058823529412,63.2467777,25.9209164,Suomi
59,France,18.6196078431373,55.9392156862745,350.082352941176,13.178431372549,46.603354,1.8883335,France
60,Gabon,12.0490196078431,35.3843137254902,726.737254901961,9.67647058823529,-0.8999695,11.6899699,Gabon
61,Gambia,7.37254901960784,26.3980392156863,638.28431372549,3.72156862745098,13.470062,-15.4900464,Gambia
62,Georgia,17.1803921568627,48.9176470588235,796.852941176471,8.17450980392157,42,43.5,"Georgia, United States"
63,Germany,19.156862745098,53.778431372549,410.276470588235,13.4862745098039,51.0834196,10.4234469,Deutschland
64,Ghana,7.95098039215686,26.7901960784314,681.094117647059,4.2,8.0300284,-1.0800271,Ghana
